track_a,track_b,pet,verdict,actual_pet,notes
22000,2000,0.5998494284158954,,,
44000,2000,0.699824333151878,,,
60000,2000,0.9330991108691707,,,
65006,2000,0.8331242061331882,,,
15000,7000,1.7995482852476865,,,
17000,7000,0.8664491743785157,,,
7000,22000,1.8328732534930137,,,
52000,7000,0.066649936490655,,,
11000,10000,0.4998745236799128,,,
15000,17000,0.633174396661223,,,
24000,15000,1.2330238250771184,,,
41000,15000,0.3665746506986028,,,
47001,15000,0.4998745236799128,,,
49000,15000,1.532948539285066,,,
15000,49003,0.9664240791144982,,,
15000,52000,0.8331242061331882,,,
59001,15000,0.6664993649065505,,,
60000,15000,1.4996235710397383,,,
97000,15000,1.7328983487570313,,,
16000,26003,1.9328481582289965,,,
24000,17000,1.532948539285066,,,
26000,17000,1.8328732534930137,,,
17000,29000,1.999498094719652,,,
17000,37000,1.5662735075303935,,,
47001,17000,1.2330238250771184,,,
49002,17000,0.066649936490655,,,
17000,49003,0.0333249682453275,,,
59001,17000,1.6329234440210487,,,
17000,67000,0.3998996189439303,,,
81000,17000,0.2332747777172927,,,
92003,17000,0.9330991108691707,,,
92005,17000,0.5331994919252404,,,
18000,67000,1.0663989838504808,,,
69000,20000,1.9328481582289965,,,
20000,73001,0.5331994919252404,,,
91000,20000,0.2665997459626202,,,
41000,21000,1.6329234440210487,,,
52000,22000,1.999498094719652,,,
22000,65006,0.0333249682453275,,,
69000,22000,1.5995984757757211,,,
22000,110000,1.332998729813101,,,
24000,26000,1.0330740156051532,,,
32000,24000,0.5665244601705679,,,
24000,41000,1.0330740156051532,,,
24000,59002,1.3663236980584286,,,
24000,92001,0.8997741426238431,,,
24000,92003,0.9330991108691707,,,
24000,94000,0.0333249682453275,,,
95000,24000,1.766223317002359,,,
97000,24000,0.5998494284158954,,,
26000,25000,0.2332747777172927,,,
28000,25000,1.8328732534930137,,,
46002,25000,0.0999749047359825,,,
78000,25000,1.8995231899836689,,,
25000,95000,1.4329736345490836,,,
32000,26000,1.6329234440210487,,,
26000,49003,1.8661982217383413,,,
26000,59002,0.0333249682453275,,,
63000,26000,1.2330238250771184,,,
26000,79000,0.5331994919252404,,,
26000,95000,1.6662484122663763,,,
78000,26003,1.999498094719652,,,
33000,28000,1.1663738885864634,,,
29000,91000,0.066649936490655,,,
59002,31000,0.1999498094719651,,,
63000,31000,0.9664240791144982,,,
32000,60000,0.5331994919252404,,,
32000,81000,1.8661982217383413,,,
32000,94000,0.8664491743785157,,,
44002,33000,1.4662986027944112,,,
44003,33000,1.3663236980584286,,,
33000,78000,1.0997239520958084,,,
36000,67000,0.5331994919252404,,,
37000,49003,0.7331493013972056,,,
40000,73001,0.9997490473598256,,,
63000,41000,1.266348793322446,,,
41000,69000,1.8995231899836689,,,
41000,81000,0.8997741426238431,,,
41000,92003,0.0999749047359825,,,
41001,60000,0.633174396661223,,,
79000,41001,1.1996988568317908,,,
42000,45002,1.1330489203411358,,,
44002,43006,1.6329234440210487,,,
44000,59002,1.5995984757757211,,,
60000,44000,0.1666248412266376,,,
51000,45002,1.999498094719652,,,
73001,45002,0.7997992378878606,,,
47000,54000,0.4665495554345854,,,
47001,60000,0.2665997459626202,,,
95000,47001,1.1996988568317908,,,
72001,48000,0.8997741426238431,,,
78000,48000,1.999498094719652,,,
48000,79000,1.2330238250771184,,,
63000,49000,0.3998996189439303,,,
59002,49002,0.1666248412266376,,,
60000,49002,1.4662986027944112,,,
59002,49003,1.532948539285066,,,
99000,51000,1.8661982217383413,,,
54001,115000,0.7997992378878606,,,
57000,67000,0.9664240791144982,,,
63000,59002,1.399648666303756,,,
63000,60000,0.3998996189439303,,,
60000,92003,0.0333249682453275,,,
95000,60000,1.6662484122663763,,,
71001,80002,0.1999498094719651,,,
76000,73001,1.0663989838504808,,,
77001,117000,0.2999247142079477,,,
79000,95000,1.0663989838504808,,,
92001,81000,0.9997490473598256,,,
92003,81000,0.2665997459626202,,,
94000,81000,1.0663989838504808,,,
94000,92003,0.3998996189439303,,,
97000,92003,0.7331493013972056,,,
102000,103000,0.066649936490655,,,
