event_idx,max_p95,max_p99,max_frac,max_jump
0,4.136300125106755,6.241978111700165,0.0037735849056603774,48.236849504741514
1,12.719134215146262,59.07793193295385,0.047619047619047616,70.6676313624057
2,3.5600235460602203,37.66406653552698,0.018050541516245487,59.30343763463081
3,25.126893719393962,46.07277009691485,0.08333333333333333,51.309239191295035
4,5.087038924559702,8.351108231824067,0.004048582995951417,52.81292686647334
5,5.9526638254001725,10.097612179965813,0.0,13.109775710256974
6,4.309321796519318,8.351108231824067,0.0,11.06004434932014
7,4.309321796519318,36.96359033359305,0.029411764705882353,53.999465458495585
8,5.14513717920312,5.389152609642965,0.0,5.400896674655831
9,5.9526638254001725,10.097612179965813,0.004048582995951417,52.81292686647334
10,5.087038924559702,43.01709413176555,0.018433179723502304,52.81292686647334
11,6.265380799117707,22.85456424930801,0.009900990099009901,60.155972935888656
12,5.087038924559702,7.69568400008142,0.004048582995951417,52.81292686647334
13,9.11916501606015,11.87834727198086,0.004048582995951417,52.81292686647334
14,5.087038924559702,7.69568400008142,0.004048582995951417,52.81292686647334
15,5.087038924559702,36.96359033359305,0.029411764705882353,53.999465458495585
16,7.527556490278673,28.360817405701578,0.058823529411764705,52.81292686647334
17,5.087038924559702,37.66406653552698,0.018050541516245487,59.30343763463081
18,5.087038924559702,7.69568400008142,0.004048582995951417,52.81292686647334
19,16.09721607185765,16.776114219304223,0.0,16.79135008087184
20,5.9526638254001725,43.01709413176555,0.018433179723502304,47.863234568648934
21,5.9526638254001725,52.40973150187919,0.015384615384615385,60.69633777932363
22,5.9526638254001725,10.097612179965813,0.0,13.125874873684143
23,5.9526638254001725,48.31503169348357,0.015544041450777202,52.52245461399271
24,5.9526638254001725,10.097612179965813,0.0,13.109775710256974
25,29.113369819324472,51.38177238171883,0.09090909090909091,56.94887302231739
26,5.9526638254001725,10.097612179965813,0.0,13.109775710256974
27,7.527556490278673,28.360817405701578,0.058823529411764705,33.569132634557306
28,5.9526638254001725,18.852003674710236,0.0091324200913242,36.75215359206359
29,5.9526638254001725,10.097612179965813,0.0,13.109775710256974
30,5.9526638254001725,21.262707386024204,0.011627906976744186,62.80712911056902
31,5.9526638254001725,10.097612179965813,0.0,13.109775710256974
32,7.195672994826168,18.852003674710236,0.0091324200913242,36.75215359206359
33,4.107354331621215,5.168609768884448,0.0036900369003690036,50.03947802268006
34,4.320821111269852,6.492549229933367,0.0036900369003690036,50.03947802268006
35,3.565425472679787,9.339925189861843,0.0036900369003690036,50.03947802268006
36,6.265380799117707,22.85456424930801,0.009900990099009901,60.155972935888656
37,4.136300125106755,36.96359033359305,0.029411764705882353,53.999465458495585
38,25.126893719393962,46.07277009691485,0.08333333333333333,51.309239191295035
39,4.136300125106755,6.241978111700165,0.0,7.553919322731786
40,5.557013657220805,9.086046332583999,0.0,9.87687606819005
41,5.597095087198268,52.40973150187919,0.018433179723502304,60.69633777932363
42,3.9591134824826804,43.01709413176555,0.018433179723502304,53.01688179550583
43,6.265380799117707,43.01709413176555,0.018433179723502304,60.155972935888656
44,20.408046166490962,50.715146323113395,0.06666666666666667,58.29192136226902
45,48.69781076597389,50.608858027912454,0.5,51.086619843397095
46,3.9591134824826804,43.01709413176555,0.018433179723502304,62.80712911056902
47,9.722288817854722,43.01709413176555,0.05263157894736842,47.863234568648934
48,3.9591134824826804,43.01709413176555,0.018433179723502304,47.863234568648934
49,3.9591134824826804,43.01709413176555,0.018433179723502304,47.863234568648934
50,5.597095087198268,52.40973150187919,0.015384615384615385,60.69633777932363
51,11.567742226867813,13.292842021274923,0.007220216606498195,34.08518098911616
52,63.90899775735041,68.70117975195515,0.2857142857142857,69.89922525060635
53,7.115484635715923,11.408464250378477,0.007220216606498195,34.08518098911616
54,4.371660473747241,7.291945748330541,0.007220216606498195,41.81458929164619
55,5.597095087198268,52.40973150187919,0.015384615384615385,60.69633777932363
