idx,decel_max,pred_min_sep,pred_t_min
0,0.0031611459239771766,1.357887836310039,0.0
1,-0.0035420671822314655,,
2,0.0026372123673973485,1.360830417563854,0.0
3,-0.009366462006424478,,
4,0.017669677207838068,3.881077475892482,0.0
5,0.05168043847477122,1.9974120804805524,0.0
6,0.004326448841214761,1.9559446526286952,60.0
7,-0.011845624227518663,0.43515985121293754,0.0
8,0.032937688568840565,,
9,0.02639967131350454,2.3291318316907925,0.0
10,0.03504266231987199,0.10364626492749206,15.0
11,0.03504266231987199,0.18500344989886464,10.0
12,-0.0010390888131651468,0.8701887267344527,4.0
13,0.01874692118393799,,
14,0.09410354656708576,3.1182415593667447,0.0
15,0.01794186147141255,2.2682141772320223,0.0
16,0.014673246586553106,,
17,0.007774151272377211,0.8296337915805957,60.0
18,-0.004643546166159879,1.5675308889037467,7.0
19,-0.05714778132271037,6.957112335662869,0.0
20,-0.00024192906158698735,0.9088394206796875,60.0
21,0.00971367238604822,2.650920963421932,0.0
22,0.030369232346389344,5.080254770673391,0.0
23,0.16790853108449832,2.4496000276920538,0.0
24,0.007392517621045102,1.210061046881094,14.0
25,0.0016886612016645403,0.959904989264175,0.0
26,0.013893490580385755,0.4513811442783561,0.0
27,0.029189947288565513,,
28,0.02253937504739295,1.2138965808348183,0.0
29,0.019469985286801043,0.1352336934218857,54.0
30,0.00025269556425938644,,
31,0.007392517621045102,0.6614206895863344,12.0
32,0.023132853413579416,,
33,0.0009492214228444262,,
34,0.11460656452689054,,
35,-0.007863483001876212,0.33951388018407386,27.0
36,0.0036021965052729157,3.359042433914726,0.0
37,-0.003858167882740557,,
38,0.007671760176292945,0.2500181378630269,0.0
39,-0.005100053951647664,,
40,-0.011400037982617794,,
41,0.0036148863682056998,0.9015676545318716,60.0
42,0.011276716489716725,0.6832763296120326,60.0
43,0.0068026971364959984,0.820754786782511,60.0
44,-0.0038950753464693094,,
45,0.007702568777275869,,
46,0.0026859745565180615,0.8859220635437414,60.0
47,0.0026721502859811293,0.34991172798785536,0.0
48,-0.005432371464229244,2.0292943863155717,0.0
49,-0.0023565516801129574,1.0289209714698833,0.0
50,0.0002908957414565483,0.4515413669986882,8.0
51,-0.003259191797553275,4.280928756004413,0.0
52,0.0009457210865790114,0.3396684848899339,0.0
53,-0.003259191797553275,,
54,-0.004422296376426684,2.230958603065577,0.0
55,0.0010148850449877046,1.4206736343025683,60.0
56,0.16695388993879468,1.4711444574043524,30.0
57,-0.001978709029868103,,
58,0.0036148863682056998,1.4909148141227393,6.0
59,0.15325441295352565,1.3182186755716898,0.0
60,-0.001321926459553542,,
61,-0.024531155026324955,,
62,-0.003956645638012665,2.4962529161472116,0.0
63,0.00038853980782843286,,
64,0.0034370938395365605,1.3350919271733706,0.0
65,-7.383117456366724e-05,2.4158525031376135,32.0
66,-0.004917033479639787,1.062218167382634,0.0
67,0.007719143564234317,1.913063414500791,0.0
68,0.006071731467556959,0.9423954325564595,2.0
69,-0.00860375818061497,,
70,-0.013790083985934606,,
71,-0.0038905836049932738,2.4604282422864903,0.0
72,0.019846472845006284,0.692179081684133,0.0
73,0.06316019391659511,1.8026194948444951,60.0
74,0.002612333011355328,1.6857099795267811,0.0
75,-0.010706027037015602,1.8325862514712965,7.0
76,-0.018398870146932512,,
77,0.017321279573736685,,
78,,0.5409127101374305,0.0
79,0.00914932585332225,0.7855345916250077,0.0
80,-0.001443964702922719,1.5565985591625557,0.0
81,-0.00043132897640981924,1.3572054108349672,0.0
82,,,
83,-0.14511579577947348,,
84,-0.00011386323671057352,0.43285819962275623,0.0
85,0.002578129249456683,2.014207683386036,0.0
86,-0.0027157213372822446,0.9910698289336324,41.0
87,,,
88,0.004578726094285862,1.1051446933224218,0.0
89,-0.0022662343801174156,1.683776213759679,0.0
90,-0.00042045796989386916,,
91,-0.023797226789136858,,
92,-0.0006616635725352829,1.4298972426798036,0.0
93,0.009834253891796305,1.3085574175815946,10.0
94,,,
95,0.0047242182389217735,,
96,,,
97,0.015087621773733614,,
98,,,
99,-0.0016105531383125635,0.6208871230176131,14.0
100,-0.006364326483891666,0.5095917758282508,34.0
101,0.30286780787777084,1.3092745630620155,11.0
102,0.008672616510532392,0.8804229180278967,0.0
103,0.00914932585332225,2.5489524456170263,0.0
104,0.0003825467951266842,0.5997360591172155,0.0
105,-0.0017725424763158533,1.7280883778200284,0.0
106,,1.1376698879577691,0.0
107,0.00026391568135477467,1.476679292126975,0.0
108,0.012485606842474635,,
109,0.009487496664398264,3.4552903461457896,0.0
110,0.005880442226375654,0.9325533692441936,15.0
111,0.7780196411332143,0.7375153856253015,14.0
112,-0.0007887884687882638,1.3336796226893703,4.0
113,-0.0015589780606402454,0.8832613924027719,0.0
