obj_i,obj_j,cell_id,t_exit_i,t_enter_j,pet,severity
1373,1609,"(15, 14)",47.833333333333336,48.833333333333336,1.0,critical
1373,1609,"(15, 14)",47.833333333333336,48.9,1.0666666666666629,critical
1578,1373,"(15, 14)",47.833333333333336,47.9,0.06666666666666288,critical
1578,1373,"(15, 14)",47.833333333333336,48.06666666666667,0.23333333333333428,critical
1578,1373,"(15, 14)",47.833333333333336,48.53333333333333,0.6999999999999957,critical
1578,1373,"(15, 14)",47.833333333333336,48.833333333333336,1.0,critical
1578,1609,"(15, 14)",47.833333333333336,48.833333333333336,1.0,critical
1578,1373,"(15, 14)",47.833333333333336,48.9,1.0666666666666629,critical
1578,1609,"(15, 14)",47.833333333333336,48.9,1.0666666666666629,critical
1578,1373,"(15, 14)",47.833333333333336,49.56666666666667,1.7333333333333343,moderate
