event_id,pet,frame,track_a,track_b,conflict_type,world_traj_i,world_traj_j
10,0.6664993649065505,,12,14,CELL_L_5,"[(0.0, 730910.5625, 222006.1875), (0.033324968245327526, 730910.625, 222006.203125), (0.06664993649065505, 730910.5625, 222006.21875), (0.09997490473598257, 730910.625, 222006.21875)]","[(0.7664742696425331, 730910.5625, 222006.21875), (0.7997992378878606, 730910.625, 222006.203125), (0.8331242061331882, 730910.625, 222006.21875), (0.8664491743785157, 730910.625, 222006.21875), (0.8997741426238431, 730910.625, 222006.203125), (0.9330991108691707, 730910.625, 222006.203125), (0.9664240791144982, 730910.625, 222006.203125)]"
11,0.6664993649065505,,12,72,CELL_L_5,"[(0.0, 730910.5625, 222006.1875), (0.033324968245327526, 730910.625, 222006.203125), (0.06664993649065505, 730910.5625, 222006.21875), (0.09997490473598257, 730910.625, 222006.21875)]","[(0.7664742696425331, 730910.5625, 222006.203125)]"
12,0.8331242061331882,,12,72,CELL_L_5,"[(0.0, 730910.5625, 222006.1875), (0.033324968245327526, 730910.625, 222006.203125), (0.06664993649065505, 730910.5625, 222006.21875), (0.09997490473598257, 730910.625, 222006.21875)]","[(0.9330991108691707, 730910.625, 222006.203125), (0.9664240791144982, 730910.625, 222006.203125)]"
13,0.3998996189439303,,63,14,CELL_L_5,"[(0.09997490473598257, 730910.6875, 222006.203125), (0.1332998729813101, 730910.625, 222006.203125), (0.16662484122663762, 730910.625, 222006.171875), (0.19994980947196514, 730910.6875, 222006.1875), (0.2332747777172927, 730910.625, 222006.171875), (0.2665997459626202, 730910.625, 222006.171875), (0.2999247142079477, 730910.6875, 222006.1875), (0.33324968245327524, 730910.6875, 222006.1875), (0.3665746506986028, 730910.6875, 222006.171875)]","[(0.7664742696425331, 730910.5625, 222006.21875), (0.7997992378878606, 730910.625, 222006.203125), (0.8331242061331882, 730910.625, 222006.21875), (0.8664491743785157, 730910.625, 222006.21875), (0.8997741426238431, 730910.625, 222006.203125), (0.9330991108691707, 730910.625, 222006.203125), (0.9664240791144982, 730910.625, 222006.203125)]"
14,0.3998996189439303,,63,72,CELL_L_5,"[(0.09997490473598257, 730910.6875, 222006.203125), (0.1332998729813101, 730910.625, 222006.203125), (0.16662484122663762, 730910.625, 222006.171875), (0.19994980947196514, 730910.6875, 222006.1875), (0.2332747777172927, 730910.625, 222006.171875), (0.2665997459626202, 730910.625, 222006.171875), (0.2999247142079477, 730910.6875, 222006.1875), (0.33324968245327524, 730910.6875, 222006.1875), (0.3665746506986028, 730910.6875, 222006.171875)]","[(0.7664742696425331, 730910.5625, 222006.203125)]"
15,0.5665244601705679,,63,72,CELL_L_5,"[(0.09997490473598257, 730910.6875, 222006.203125), (0.1332998729813101, 730910.625, 222006.203125), (0.16662484122663762, 730910.625, 222006.171875), (0.19994980947196514, 730910.6875, 222006.1875), (0.2332747777172927, 730910.625, 222006.171875), (0.2665997459626202, 730910.625, 222006.171875), (0.2999247142079477, 730910.6875, 222006.1875), (0.33324968245327524, 730910.6875, 222006.1875), (0.3665746506986028, 730910.6875, 222006.171875)]","[(0.9330991108691707, 730910.625, 222006.203125), (0.9664240791144982, 730910.625, 222006.203125)]"
16,0.16662484122663768,,72,72,CELL_L_5,"[(0.7664742696425331, 730910.5625, 222006.203125)]","[(0.9330991108691707, 730910.625, 222006.203125), (0.9664240791144982, 730910.625, 222006.203125)]"
17,0.29992471420794775,,12,21,CELL_M_5,"[(0.1332998729813101, 730910.5625, 222006.21875), (0.16662484122663762, 730910.625, 222006.234375), (0.19994980947196514, 730910.5625, 222006.21875), (0.2332747777172927, 730910.5625, 222006.234375), (0.2665997459626202, 730910.625, 222006.234375), (0.2999247142079477, 730910.5625, 222006.25), (0.33324968245327524, 730910.5625, 222006.25)]","[(0.633174396661223, 730910.75, 222006.25), (0.6664993649065505, 730910.6875, 222006.25), (0.699824333151878, 730910.6875, 222006.25), (0.7331493013972056, 730910.75, 222006.25), (0.7664742696425331, 730910.6875, 222006.25), (0.7997992378878606, 730910.6875, 222006.234375), (0.8331242061331882, 730910.75, 222006.265625), (0.8664491743785157, 730910.6875, 222006.25), (0.8997741426238431, 730910.6875, 222006.25), (0.9330991108691707, 730910.75, 222006.25), (0.9664240791144982, 730910.6875, 222006.25)]"
18,0.29992471420794775,,12,58,CELL_M_5,"[(0.1332998729813101, 730910.5625, 222006.21875), (0.16662484122663762, 730910.625, 222006.234375), (0.19994980947196514, 730910.5625, 222006.21875), (0.2332747777172927, 730910.5625, 222006.234375), (0.2665997459626202, 730910.625, 222006.234375), (0.2999247142079477, 730910.5625, 222006.25), (0.33324968245327524, 730910.5625, 222006.25)]","[(0.633174396661223, 730910.75, 222006.265625), (0.6664993649065505, 730910.75, 222006.25), (0.699824333151878, 730910.75, 222006.25), (0.7331493013972056, 730910.75, 222006.265625), (0.7664742696425331, 730910.75, 222006.265625), (0.7997992378878606, 730910.6875, 222006.234375), (0.8331242061331882, 730910.75, 222006.25), (0.8664491743785157, 730910.6875, 222006.25), (0.8997741426238431, 730910.6875, 222006.25), (0.9330991108691707, 730910.6875, 222006.21875), (0.9664240791144982, 730910.6875, 222006.234375)]"
19,0.4665495554345853,,12,72,CELL_M_5,"[(0.1332998729813101, 730910.5625, 222006.21875), (0.16662484122663762, 730910.625, 222006.234375), (0.19994980947196514, 730910.5625, 222006.21875), (0.2332747777172927, 730910.5625, 222006.234375), (0.2665997459626202, 730910.625, 222006.234375), (0.2999247142079477, 730910.5625, 222006.25), (0.33324968245327524, 730910.5625, 222006.25)]","[(0.7997992378878606, 730910.625, 222006.265625), (0.8331242061331882, 730910.5625, 222006.25), (0.8664491743785157, 730910.5625, 222006.25), (0.8997741426238431, 730910.625, 222006.25)]"
