event_id,pet,pet_time_based,frame,track_a,track_b,orig_track_a,seg_a,orig_track_b,seg_b,conflict_type,grid_cell,track_a_entry_frame,track_a_exit_frame,track_a_exit_time_sec,track_b_entry_frame,track_b_entry_time_sec,track_b_exit_frame,video_source,site,time_of_day_label,gate_a_entry,gate_b_entry
0,2.865947269098167,2.865947269098168,264,7000,2000,7,0,2,0,side_swipe,cell_G_3,264,265,8.831116585011793,155,5.165370078025767,178,GITI,GITI,,unknown,unknown
1,0.5998494284158954,0.5998494284158951,81,22000,2000,22,0,2,0,side_swipe,cell_K_2,81,103,3.4324717292687352,43,1.4329736345490836,63,GITI,GITI,,unknown,unknown
2,0.699824333151878,0.6998243331518781,44,44000,2000,44,0,2,0,other,cell_L_2,44,70,2.332747777172927,21,0.699824333151878,23,GITI,GITI,,unknown,unknown
3,0.9330991108691707,0.9330991108691707,44,60000,2000,60,0,2,0,head_on,cell_L_2,44,71,2.366072745418254,15,0.4998745236799128,16,GITI,GITI,,West_Gate,unknown
4,0.8331242061331882,0.833124206133188,107,65006,2000,65,6,2,0,other,cell_K_2,107,123,4.098971094175286,81,2.6993224278715293,82,GITI,GITI,,unknown,unknown
5,2.532697586644892,2.5326975866448924,126,6000,8000,6,0,8,0,other,cell_J_4,38,50,1.6662484122663763,126,4.1989459989112685,276,GITI,GITI,,South_Gate,unknown
6,1.7995482852476865,1.7995482852476865,73,15000,7000,15,0,7,0,other,cell_I_3,73,86,2.865947269098167,11,0.3665746506986028,19,GITI,GITI,,North_Gate,unknown
7,0.8664491743785157,0.8664491743785157,74,17000,7000,17,0,7,0,head_on,cell_I_3,74,87,2.8992722373434945,39,1.2996737615677734,48,GITI,GITI,,North_Gate,unknown
8,2.8992722373434945,2.8992722373434945,99,21000,7000,21,0,7,0,head_on,cell_H_3,99,110,3.665746506986028,0,0.0,12,GITI,GITI,,North_Gate,unknown
9,1.8328732534930137,1.8328732534930128,177,7000,22000,7,0,22,0,side_swipe,cell_H_3,111,122,4.065646125929958,177,5.898519379422972,194,GITI,GITI,,unknown,unknown
11,2.032823062964979,2.0328230629649786,87,7000,65006,7,0,65,6,rear_end,cell_K_2,4,26,0.8664491743785157,87,2.8992722373434945,89,GITI,GITI,,unknown,unknown
12,2.9325972055888223,2.9325972055888228,282,73001,7000,73,1,7,0,other,cell_E_2,282,299,9.96416550535293,168,5.598594665215024,194,GITI,GITI,,unknown,unknown
13,0.4998745236799128,0.4998745236799128,27,11000,10000,11,0,10,0,side_swipe,cell_B_3,27,36,1.1996988568317908,2,0.066649936490655,12,GITI,GITI,,unknown,SouthWest_Gate
