event_id,pet,frame,track_a,track_b,orig_track_a,seg_a,orig_track_b,seg_b,conflict_type,grid_cell,track_a_entry_frame,track_a_exit_frame,track_b_entry_frame,track_b_exit_frame,site,time_of_day_label,gate_a_entry,gate_b_entry,first_track_id,second_track_id,first_exit_frame,first_exit_time_sec,second_entry_frame,second_entry_time_sec,pet_frames,pet_s,occupancy_relation,run_id,pipeline_version,git_commit,config_hash,fps,pet_method,conflict_zone_coordinate_system,conflict_zone_half_size_m
128,0.4665495554345854,136,47000,54000,47,0,54,0,head_on,cell_N_3,38,122,136,181,GITI,unspecified,,North_Gate,47000,54000,122,4.066666666666666,136,4.533333333333333,14,0.4666666666666667,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
129,2.6993224278715293,203,47000,54001,47,0,54,1,other,cell_N_3,0,122,203,209,GITI,unspecified,,,47000,54001,122,4.066666666666666,203,6.766666666666667,81,2.7,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
130,0.2665997459626202,212,47001,60000,47,1,60,0,side_swipe,cell_N_1,178,204,212,255,GITI,unspecified,,West_Gate,47001,60000,204,6.8,212,7.066666666666666,8,0.2666666666666666,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
131,1.1996988568317908,164,95000,47001,95,0,47,1,other,cell_O_1,164,186,119,128,GITI,unspecified,,,47001,95000,128,4.266666666666667,164,5.466666666666667,36,1.2,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
132,0.8997741426238431,41,72001,48000,72,1,48,0,crossing,cell_N_1,41,77,14,14,GITI,unspecified,,,48000,72001,14,0.4666666666666667,41,1.3666666666666667,27,0.9,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
133,1.999498094719652,256,78000,48000,78,0,48,0,side_swipe,cell_J_3,256,266,196,196,GITI,unspecified,,,48000,78000,196,6.533333333333333,256,8.533333333333333,60,2.0,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
134,1.2330238250771184,63,48000,79000,48,0,79,0,other,cell_O_1,0,26,63,80,GITI,unspecified,,,48000,79000,26,0.8666666666666667,63,2.1,37,1.2333333333333334,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
135,2.6993224278715293,213,48000,97000,48,0,97,0,rear_end,cell_M_2,102,132,213,241,GITI,unspecified,,,48000,97000,132,4.4,213,7.1,81,2.7,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
136,0.3998996189439303,37,63000,49000,63,0,49,0,crossing,cell_L_2,37,53,24,25,GITI,unspecified,,West_Gate,49000,63000,25,0.8333333333333334,37,1.2333333333333334,12,0.4,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
137,0.1666248412266376,91,59002,49002,59,2,49,2,other,cell_L_2,91,114,67,86,GITI,unspecified,West_Gate,West_Gate,49002,59002,86,2.8666666666666667,91,3.033333333333333,5,0.1666666666666666,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
