frame,track_id,class_id,class_name,conf,x1,y1,x2,y2,cx,cy,source
0,1,8,auto,0.9229233264923096,787.53369140625,568.2330322265625,916.2424926757812,687.5668334960938,851.8880920410156,627.8999328613281,uvh26
0,2,8,auto,0.9189518690109253,1165.773681640625,112.72737884521484,1210.5587158203125,159.47091674804688,1188.1661987304688,136.09914779663086,uvh26
0,3,8,auto,0.9186800122261047,201.5504150390625,162.69436645507812,260.4935302734375,213.7128143310547,231.02197265625,188.2035903930664,uvh26
0,4,8,auto,0.8985415697097778,669.0519409179688,599.1837158203125,796.7197875976562,714.2749633789062,732.8858642578125,656.7293395996094,uvh26
0,5,8,auto,0.8963529467582703,601.977783203125,631.4344482421875,732.0919799804688,719.4009399414062,667.0348815917969,675.4176940917969,uvh26
0,6,8,auto,0.8905945420265198,1023.6920776367188,285.2257995605469,1092.275634765625,358.1706237792969,1057.9838562011719,321.6982116699219,uvh26
0,7,3,bike,0.8875693678855896,1011.1453857421875,164.4456787109375,1047.563232421875,212.53245544433594,1029.3543090820312,188.48906707763672,uvh26
0,8,3,bike,0.8870939612388611,1076.050537109375,406.56707763671875,1149.7667236328125,474.2604064941406,1112.9086303710938,440.4137420654297,uvh26
0,9,3,bike,0.8755412697792053,117.52552795410156,649.081787109375,198.57705688476562,719.9999389648438,158.0512924194336,684.5408630371094,uvh26
0,10,3,bike,0.8576835989952087,257.8902587890625,231.19635009765625,309.2444152832031,277.25506591796875,283.5673370361328,254.2257080078125,uvh26
0,11,3,bike,0.8496832847595215,145.7408905029297,228.034423828125,194.42225646972656,274.76104736328125,170.08157348632812,251.39773559570312,uvh26
0,12,3,bike,0.8489226698875427,247.2283935546875,121.8344955444336,268.28521728515625,158.88705444335938,257.7568054199219,140.36077499389648,uvh26
0,13,8,auto,0.840861439704895,925.80078125,572.6207885742188,1045.3658447265625,683.7622680664062,985.5833129882812,628.1915283203125,uvh26
0,14,8,auto,0.8362069129943848,607.8446044921875,324.2595520019531,690.0432739257812,393.8362731933594,648.9439392089844,359.04791259765625,uvh26
0,15,3,bike,0.8225651383399963,782.3499755859375,219.30661010742188,819.6647338867188,268.68414306640625,801.0073547363281,243.99537658691406,uvh26
0,16,2,car,0.8192104697227478,1238.69287109375,90.08320617675781,1297.3663330078125,133.000732421875,1268.0296020507812,111.5419692993164,uvh26
0,17,3,bike,0.8180017471313477,658.5513305664062,269.30755615234375,704.3246459960938,331.13983154296875,681.43798828125,300.22369384765625,uvh26
0,18,3,bike,0.812403678894043,243.01649475097656,206.17335510253906,283.67431640625,247.48301696777344,263.3454055786133,226.82818603515625,uvh26
0,19,8,auto,0.8040096163749695,848.3548583984375,242.5734100341797,930.3381958007812,333.66424560546875,889.3465270996094,288.1188278198242,uvh26
0,20,3,bike,0.8035150766372681,1117.146728515625,154.4944305419922,1152.4815673828125,197.65528869628906,1134.8141479492188,176.07485961914062,uvh26
0,21,3,bike,0.8014684319496155,764.16259765625,201.19850158691406,797.7500610351562,247.42027282714844,780.9563293457031,224.30938720703125,uvh26
0,22,3,bike,0.7956910133361816,1132.82958984375,132.49545288085938,1164.7542724609375,173.46031188964844,1148.7919311523438,152.9778823852539,uvh26
0,23,8,auto,0.7956658601760864,406.3866271972656,111.68978881835938,459.1008605957031,154.49603271484375,432.7437438964844,133.09291076660156,uvh26
