event_id,pet,frame,track_a,track_b,orig_track_a,seg_a,orig_track_b,seg_b,conflict_type,grid_cell,track_a_entry_frame,track_a_exit_frame,track_b_entry_frame,track_b_exit_frame,site,time_of_day_label,gate_a_entry,gate_b_entry,first_track_id,second_track_id,first_exit_frame,first_exit_time_sec,second_entry_frame,second_entry_time_sec,pet_frames,pet_s,occupancy_relation,run_id,pipeline_version,git_commit,config_hash,fps,pet_method,conflict_zone_coordinate_system,conflict_zone_half_size_m
14,0.7331493879472694,33,46000,69000,46,0,69,0,rear_end,cell_Q_10,0,11,33,33,MRC,unspecified,,,46000,69000,11,0.36666666666666664,33,1.1,22,0.7333333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
15,0.7664743601266907,52,46000,75000,46,0,75,0,other,cell_Q_10,27,29,52,76,MRC,unspecified,,,46000,75000,29,0.9666666666666667,52,1.7333333333333334,23,0.7666666666666667,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
16,1.0330741375620611,35,52000,73000,52,0,73,0,other,cell_B_3,0,4,35,202,MRC,unspecified,,,52000,73000,4,0.13333333333333333,35,1.1666666666666667,31,1.0333333333333334,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
17,2.732647718712549,86,52000,81000,52,0,81,0,other,cell_B_3,0,4,86,299,MRC,unspecified,,,52000,81000,4,0.13333333333333333,86,2.8666666666666667,82,2.7333333333333334,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
18,0.2665997774353706,19,53000,52002,53,0,52,2,other,cell_A_3,19,111,0,11,MRC,unspecified,MRC_North,MRC_North,52002,53000,11,0.36666666666666664,19,0.6333333333333333,8,0.26666666666666666,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
19,0.4998745826913199,35,53001,73000,53,1,73,0,other,cell_B_3,14,20,35,202,MRC,unspecified,,,53001,73000,20,0.6666666666666666,35,1.1666666666666667,15,0.5,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
20,2.199448163841808,86,53001,81000,53,1,81,0,other,cell_B_3,14,20,86,299,MRC,unspecified,,,53001,81000,20,0.6666666666666666,86,2.8666666666666667,66,2.2,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
21,0.199949833076528,86,54000,81000,54,0,81,0,other,cell_B_3,0,80,86,299,MRC,unspecified,,,54000,81000,80,2.6666666666666665,86,2.8666666666666667,6,0.2,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
22,2.932597551789077,168,54000,92000,54,0,92,0,other,cell_B_3,0,80,168,298,MRC,unspecified,,,54000,92000,80,2.6666666666666665,168,5.6,88,2.933333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
23,1.3329988871768532,47,58000,76000,58,0,76,0,other,cell_Q_7,7,7,47,49,MRC,unspecified,,MRC_South,58000,76000,7,0.23333333333333334,47,1.5666666666666667,40,1.3333333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
24,2.799297663071392,158,65001,89000,65,1,89,0,side_swipe,cell_S_3,70,74,158,163,MRC,unspecified,,,65001,89000,74,2.466666666666667,158,5.266666666666667,84,2.8,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
25,0.1332998887176853,156,66000,90000,66,0,90,0,other,cell_N_4,10,152,156,299,MRC,unspecified,,,66000,90000,152,5.066666666666666,156,5.2,4,0.13333333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
26,2.899272579609656,247,66000,110000,66,0,110,0,other,cell_N_5,154,160,247,263,MRC,unspecified,,,66000,110000,160,5.333333333333333,247,8.233333333333333,87,2.9,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
27,0.899774248844376,103,75000,68000,75,0,68,0,crossing,cell_Q_10,103,215,52,76,MRC,unspecified,,,68000,75000,76,2.533333333333333,103,3.433333333333333,27,0.9,b_to_a,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
28,0.2332748052559493,283,73000,120000,73,0,120,0,other,cell_A_3,250,276,283,294,MRC,unspecified,,,73000,120000,276,9.2,283,9.433333333333334,7,0.23333333333333334,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
30,2.599347829994864,238,89000,93002,89,0,93,2,other,cell_S_3,152,160,238,256,MRC,unspecified,,,89000,93002,160,5.333333333333333,238,7.933333333333334,78,2.6,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
31,2.632672802174285,256,89000,113000,89,0,113,0,other,cell_R_3,171,177,256,273,MRC,unspecified,,,89000,113000,177,5.9,256,8.533333333333333,79,2.6333333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
32,2.599347829994864,247,91000,110000,91,0,110,0,other,cell_N_5,160,169,247,263,MRC,unspecified,,,91000,110000,169,5.633333333333334,247,8.233333333333333,78,2.6,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
33,2.432722969097757,256,93000,113000,93,0,113,0,other,cell_R_3,179,183,256,273,MRC,unspecified,,,93000,113000,183,6.1,256,8.533333333333333,73,2.433333333333333,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
34,2.6659977743537064,257,93000,115000,93,0,115,0,other,cell_R_2,176,177,257,268,MRC,unspecified,,,93000,115000,177,5.9,257,8.566666666666666,80,2.6666666666666665,a_to_b,NNDS_v2,2.0.0,77216a0c288f2a3f09093579e390994a381bbfa8,2fd8460efb0e4234239fca90066514669e3604ffa38a677c5d0979f385773251,30.0,uvh-coco-fused-grid-pet,world_meters,20.0
